Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret,NASDAQ,NASDAQ_Ret
2012-05-18,38.23,213.85,16.37,9.99,300.5,,,,,,2778.79,-0.012403640770660584
2012-05-21,34.03,218.11,17.32,10.25,307.36,-0.10986136541982727,0.019920505026888025,0.058032987171655386,0.026026026026026102,0.02282861896838617,2847.21,0.02462222766024058
2012-05-22,31.0,215.33,17.19,9.67,300.7,-0.089039083161916,-0.012745862179634138,-0.007505773672055405,-0.05658536585365859,-0.021668401874024083,2839.08,-0.002855426891588686
2012-05-23,32.0,217.28,17.61,10.27,305.04,0.032258064516129004,0.009055867737890688,0.024432809773123898,0.06204756980351589,0.014432989690721819,2850.12,0.003888583625681452
2012-05-24,33.03,215.24,17.45,10.04,302.13,0.032187500000000036,-0.009388807069219407,-0.009085746734809774,-0.02239532619279461,-0.009539732494099229,2839.38,-0.003768262388952004
2012-05-25,31.91,212.89,17.35,10.03,296.06,-0.033908567968513485,-0.010918044973053487,-0.005730659025787843,-0.0009960159362549792,-0.020090689438321263,2837.53,-0.0006515506906437096
2012-05-29,28.84,214.75,17.66,9.92,297.47,-0.09620808523973677,0.008736906383578491,0.01786743515850131,-0.010967098703888234,0.00476254813213539,2870.99,0.011791945812026583
2012-05-30,28.19,209.23,17.87,9.62,294.41,-0.02253814147018029,-0.025704307334109444,0.011891279728199368,-0.030241935483871,-0.01028675160520387,2837.36,-0.011713729410412266
2012-05-31,29.6,212.91,17.83,9.06,290.72,0.050017736786094336,0.017588299956985187,-0.002238388360380705,-0.0582120582120581,-0.012533541659590308,2827.34,-0.0035314517720698158
2012-06-01,27.72,208.22,17.31,8.99,285.78,-0.06351351351351364,-0.02202808698511105,-0.02916432978126748,-0.0077262693156733295,-0.016992294991744816,2747.48,-0.028245630168285407
2012-06-04,26.9,214.57,17.42,9.29,289.58,-0.0295815295815296,0.03049659014503892,0.006354708261120835,0.03337041156840925,0.013296941703408338,2760.01,0.00456054275190354
2012-06-05,25.87,213.21,17.37,9.26,285.49,-0.038289962825278745,-0.006338257911171152,-0.002870264064293915,-0.0032292787944024908,-0.014123903584501553,2778.11,0.0065579472538142
2012-06-06,26.81,217.64,17.64,9.41,290.58,0.036335523772709655,0.020777637071431883,0.015544041450777256,0.016198704103671746,0.01782899576167285,2844.72,0.023976732382806842
2012-06-07,26.31,218.8,17.64,9.23,289.4,-0.01864975755315179,0.005329902591435509,0.0,-0.019128586609989395,-0.0040608438295822715,2831.02,-0.0048159397058409326
2012-06-08,27.1,218.48,17.91,9.38,290.52,0.03002660585328787,-0.0014625228519196118,0.015306122448979663,0.01625135427952329,0.0038700760193504094,2858.42,0.009678490438075338
2012-06-11,27.01,216.5,17.63,9.0,284.53,-0.0033210332103320588,-0.009062614426949778,-0.015633724176437824,-0.04051172707889139,-0.020618201844967654,2809.73,-0.017033885853023678
2012-06-12,27.4,216.42,17.78,9.0,282.83,0.01443909663087739,-0.00036951501154736116,0.008508224617129967,0.0,-0.0059747654025936745,2843.07,0.011865908823979643
2012-06-13,27.27,214.73,17.66,8.98,280.83,-0.0047445255474452,-0.0078088901210608954,-0.006749156355455589,-0.0022222222222221255,-0.007071385638015793,2818.61,-0.008603375928133983
2012-06-14,28.29,214.45,17.64,8.95,279.8,0.037403740374037486,-0.0013039631164718513,-0.0011325028312570984,-0.0033407572383075124,-0.0036676993198730967,2836.33,0.00628678674949712
2012-06-15,30.01,218.35,17.72,9.4,282.54,0.060798868858253925,0.018186057356027074,0.0045351473922901064,0.05027932960893877,0.009792709077912852,2872.8,0.012858165305165592
2012-06-18,31.41,222.66,18.08,9.53,285.71,0.04665111629456842,0.01973895122509739,0.02031602708803604,0.01382978723404249,0.011219650314999495,2895.33,0.007842522974101929
2012-06-19,31.91,224.03,18.13,9.98,291.06,0.015918497293855527,0.006152878828707521,0.0027654867256636795,0.047219307450157455,0.018725280879213324,2929.76,0.011891563310572728
2012-06-20,31.6,223.02,18.08,9.74,289.04,-0.009714822939517307,-0.004508324777931505,-0.0027578599007170856,-0.024048096192384797,-0.006940149797292627,2930.45,0.00023551417180911471
2012-06-21,31.84,220.57,17.83,9.41,282.89,0.0075949367088608,-0.010985561833019577,-0.013827433628318621,-0.033880903490759784,-0.021277331857182502,2859.09,-0.024351208858707563
2012-06-22,33.05,222.16,17.96,9.69,286.03,0.03800251256281406,0.0072085959105951955,0.007291082445316954,0.02975557917109461,0.011099720739510044,2892.42,0.011657555376011208
2012-06-25,32.06,220.07,17.62,9.58,280.63,-0.029954614220877307,-0.009407634137558518,-0.018930957683741645,-0.011351909184726505,-0.018879138551900043,2836.16,-0.01945084047268386
2012-06-26,33.1,225.61,17.65,9.54,282.62,0.03243917654397998,0.02517380833371208,0.0017026106696933494,-0.0041753653444677186,0.007091187684852063,2854.06,0.006311350558501738
2012-06-27,32.23,225.62,17.73,9.5,284.93,-0.02628398791540798,4.432427640610471e-05,0.004532577903682888,-0.004192872117400381,0.008173519213077629,2875.32,0.007449037511474854
2012-06-28,31.36,221.31,17.56,9.62,282.44,-0.026993484331368167,-0.019102916408119897,-0.009588268471517279,0.012631578947368329,-0.008738988523497082,2849.49,-0.008983347940403341
2012-06-29,31.1,228.35,18.02,9.78,290.33,-0.008290816326530503,0.03181058244091983,0.0261958997722096,0.016632016632016633,0.027935136666194627,2935.05,0.030026425781455757
