Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret
2012-05-18,38.23,213.85,16.34,9.99,300.5,,,,,
2012-05-21,34.03,218.11,17.29,10.25,307.36,-0.10986136541982727,0.019920505026888025,0.05813953488372081,0.026026026026026106,0.022828618968386172
2012-05-22,31.0,215.33,17.16,9.67,300.7,-0.089039083161916,-0.012745862179634138,-0.007518796992481147,-0.05658536585365859,-0.02166840187402408
2012-05-23,32.0,217.28,17.58,10.27,305.04,0.032258064516129004,0.009055867737890688,0.02447552447552437,0.06204756980351589,0.01443298969072182
2012-05-24,33.03,215.24,17.42,10.04,302.13,0.032187500000000036,-0.009388807069219407,-0.0091012514220703,-0.022395326192794607,-0.009539732494099229
2012-05-25,31.91,212.89,17.32,10.03,296.06,-0.03390856796851349,-0.010918044973053487,-0.005740528128587941,-0.0009960159362549792,-0.020090689438321263
2012-05-29,28.84,214.75,17.63,9.92,297.47,-0.09620808523973678,0.008736906383578491,0.017898383371824478,-0.010967098703888234,0.004762548132135391
2012-05-30,28.19,209.23,17.84,9.62,294.41,-0.022538141470180295,-0.025704307334109444,0.011911514463981865,-0.030241935483870996,-0.01028675160520387
2012-05-31,29.6,212.91,17.8,9.06,290.72,0.050017736786094336,0.017588299956985187,-0.0022421524663677195,-0.058212058212058104,-0.012533541659590308
2012-06-01,27.72,208.22,17.28,8.99,285.78,-0.06351351351351364,-0.02202808698511105,-0.02921348314606742,-0.007726269315673329,-0.016992294991744816
2012-06-04,26.9,214.57,17.39,9.29,289.58,-0.029581529581529598,0.030496590145038915,0.0063657407407407,0.03337041156840925,0.013296941703408338
2012-06-05,25.87,213.21,17.34,9.26,285.49,-0.038289962825278745,-0.006338257911171152,-0.002875215641173101,-0.0032292787944024903,-0.014123903584501551
2012-06-06,26.81,217.64,17.61,9.41,290.58,0.036335523772709655,0.020777637071431876,0.015570934256055269,0.016198704103671746,0.01782899576167285
2012-06-07,26.31,218.8,17.61,9.23,289.4,-0.01864975755315179,0.005329902591435509,0.0,-0.019128586609989395,-0.004060843829582272
2012-06-08,27.1,218.48,17.88,9.38,290.52,0.03002660585328787,-0.001462522851919612,0.015332197614991383,0.01625135427952329,0.0038700760193504102
2012-06-11,27.01,216.5,17.6,9.0,284.53,-0.0033210332103320583,-0.009062614426949778,-0.015659955257270597,-0.04051172707889139,-0.020618201844967654
2012-06-12,27.4,216.42,17.75,9.0,282.83,0.01443909663087739,-0.0003695150115473611,0.008522727272727293,0.0,-0.005974765402593674
2012-06-13,27.27,214.73,17.63,8.98,280.83,-0.0047445255474452,-0.007808890121060896,-0.006760563380281748,-0.0022222222222221255,-0.0070713856380157925
2012-06-14,28.29,214.45,17.61,8.95,279.8,0.037403740374037486,-0.0013039631164718513,-0.0011344299489506326,-0.0033407572383075124,-0.0036676993198730967
2012-06-15,30.01,218.35,17.69,9.4,282.54,0.06079886885825392,0.018186057356027074,0.004542873367404887,0.05027932960893877,0.009792709077912853
2012-06-18,31.41,222.66,18.05,9.53,285.71,0.04665111629456842,0.01973895122509739,0.020350480497456136,0.01382978723404249,0.011219650314999496
2012-06-19,31.91,224.03,18.1,9.98,291.06,0.015918497293855527,0.00615287882870752,0.0027700831024930483,0.047219307450157455,0.018725280879213324
2012-06-20,31.6,223.02,18.05,9.74,289.04,-0.009714822939517309,-0.004508324777931505,-0.002762430939226568,-0.024048096192384794,-0.006940149797292627
2012-06-21,31.84,220.57,17.8,9.41,282.89,0.0075949367088608,-0.010985561833019575,-0.013850415512465353,-0.033880903490759784,-0.021277331857182502
2012-06-22,33.05,222.16,17.93,9.69,286.03,0.03800251256281406,0.007208595910595195,0.007303370786516883,0.029755579171094615,0.011099720739510044
2012-06-25,32.06,220.07,17.58,9.58,280.63,-0.029954614220877307,-0.009407634137558518,-0.019520356943669936,-0.011351909184726505,-0.018879138551900043
2012-06-26,33.1,225.61,17.62,9.54,282.62,0.032439176543979986,0.025173808333712078,0.0022753128555177415,-0.0041753653444677186,0.007091187684852063
2012-06-27,32.23,225.62,17.7,9.5,284.93,-0.02628398791540798,4.43242764061047e-05,0.004540295119182636,-0.004192872117400381,0.008173519213077629
2012-06-28,31.36,221.31,17.53,9.62,282.44,-0.026993484331368167,-0.019102916408119897,-0.009604519774011222,0.012631578947368327,-0.008738988523497082
2012-06-29,31.1,228.35,17.99,9.78,290.33,-0.008290816326530503,0.03181058244091983,0.026240730176839477,0.016632016632016633,0.027935136666194627
2012-07-02,30.77,229.32,18.25,9.69,290.53,-0.010610932475884294,0.004247865119334282,0.014452473596442639,-0.009202453987730008,0.0006888712844004274
2012-07-03,31.2,229.53,18.47,10.29,294.21,0.013974650633734154,0.0009157509157509125,0.012054794520547807,0.0619195046439629,0.012666506040684311
2012-07-05,31.47,227.06,18.79,11.67,298.26,0.008653846153846123,-0.010761120550690562,0.017325392528424466,0.13411078717201175,0.013765677577240787
2012-07-06,31.73,225.05,18.67,11.7,293.28,0.008261836669844369,-0.00885228573945207,-0.0063863757317720315,0.0025706940874035134,-0.016696841681754226
2012-07-09,32.17,225.05,18.91,11.86,293.3,0.013867002836432496,0.0,0.012854847348687581,0.013675213675213627,6.819421713055718e-05
2012-07-10,31.47,219.5,18.74,11.46,291.14,-0.021759403170655944,-0.024661186403021618,-0.008989952406134427,-0.03372681281618872,-0.0073644732355950815
2012-07-11,30.97,218.37,18.62,11.66,285.88,-0.015888147442008282,-0.005148063781321155,-0.00640341515474907,0.017452006980802626,-0.018066909390671126
